id,crypto_alias,crypto_name,broker,trade_date,trade_price,amount,total_trade_price,meme
1,stellar,XLM,Binance,10.05.2021,0.61,500.0,305.5,1
2,dogecoin,DOGE,Binance,14.05.2021,0.4531,154.4,69.96,0
3,dogecoin,DOGE,Binance,30.11.2021,0.192,315.0,59.91,0
4,vechain,VET,Binance,23.04.2023,0.02094,2090.21,43.77,1
5,ripple,XRP,Binance,06.11.2023,0.7187,198.0,142.0,0
6,not,NOT,Binance,08.06.2024,0.02055,14958.0,300.0,1
7,not,NOT,Binance,09.06.2024,0.018501,6756.0,125.0,1
8,not,NOT,Binance,11.06.2024,0.0155,8066.0,125.0,1
9,not,NOT,Binance,18.06.2024,0.01452,10000.0,150.0,1
10,pepe,PEPE,Binance,26.04.2024,1.032e-05,24127906.0,249.0,1
11,book-of-meme,BOME,Binance,15.01.2024,0.010493,14873.0,156.06,1
12,pepe,PEPE,Binance,05.08.2024,6.76e-05,23540358.0,199.69,1
13,dogs-2,DOGS,Binance,13.09.2024,0.0010999,321448.0,353.56,1
14,shiba-inu,SHIBA INU,Bitpanda,13.09.2024,1.281e-05,15612802.46,200.0,1
15,dogecoin,DOGE,Binance,22.11.2024,0.32485,1534.46,499.0,0
16,vechain,VET,Bitvavo,01.12.2024,0.055495,3508.94337801,200.3,1
17,stellar,XLM,Bitvavo,01.12.2024,0.47571,558.302327,265.99,1
18,bitcoin,BTC,Binance,05.12.2024,92554.525,0.00304089,281.45,0
19,ethereum,ETH,Binance,05.12.2024,2600.883,0.1030607,268.049,0
20,stellar,XLM,Bitvavo,11.12.2024,0.41114,486.4523034,200.31,1
21,jasmycoin,JASMY,Bitvavo,12.12.2024,0.041094,4866.89054363,200.3,1
22,solana,SOLANA,Binance,14.12.2024,141.32180759,0.96180164,135.92,1
23,stellar,XLM,Bitvavo,08.01.2025,0.40588,625.7760915,254.38,1
24,ripple,XRP,Bitvavo,03.02.2025,2.362,37.997456,89.89,1
25,ripple,XRP,Bitvavo,23.04.2025,1.9566,41.0,80.35,1
26,jasmycoin,JASMY,Bitvavo,12.12.2024,0.014491,6899.0,100.13,1
27,pepe,PEPE,Bitpanda,20.12.2024,1.628e-05,9213759.2137,150.0,1
28,pepe,PEPE,Bitvavo,08.05.2025,9.9548e-06,15068108.0,150.23,1
29,pepe,PEPE,Bitget,08.05.2025,9.9548e-06,12189190.81,100.0,1
30,pepe,PEPE,Bitvavo,23.06.2025,7.784e-06,8979959.0,70.01,1
31,dogwifcoin,WIF,Bitvavo,23.06.2025,0.60302,164.256575,99.2,1
32,dogwifcoin,WIF,Bitvavo,26.08.2025,0.6645,240.0,160.0,1
33,dogwifcoin,WIF,Bitvavo,01.09.2025,0.6766,250.0,170.0,1
34,ripple,XRP,Bitvavo,24.09.2025,2.5218,97.0,244.99,0
35,ripple,XRP,Bitvavo,09.10.2025,2.459,50.0,123.14,0
36,ripple,XRP,Bitvavo,09.10.2025,2.3997,50.0,120.17,0
37,ripple,XRP,Bitvavo,11.10.2025,2.1693,50.0,108.63,0
38,dogecoin,DOGE,Bitvavo,09.10.2025,0.20947,1000.0,209.79,0
39,solana,SOLANA,Bitvavo,10.10.2025,187.49,0.23,43.19,0
40,solana,SOLANA,Bitvavo,11.10.2025,160.0,1.0,160.24,0
41,pepe,PEPE,Bitvavo,12.10.2025,6.5861e-06,16810000.0,110.88,1
42,dogwifcoin,WIF,Bitvavo,12.10.2025,0.48978,250.0,122.63,0
43,ripple,XRP,Bitvavo,26.10.2025,2.2846,50.0,114.41,0
44,dogecoin,DOGE,Bitvavo,27.10.2025,0.1785,753.0,134.62,0
45,pepe,PEPE,Bitvavo,29.10.2025,6.2149e-06,17600000.0,109.55,1
46,dogecoin,DOGE,Bitvavo,30.10.2025,0.1597,312.3,49.95,0
47,ripple,XRP,Bitvavo,30.10.2025,2.165,46.073,99.9,0
48,arbitrum,ARB,Bitvavo,30.10.2025,0.25969,390.0,101.44,0
49,ethereum,ETH,Bitvavo,30.10.2025,3298,0.03,99.09,0
